group,code,description,price_1,price_2,price_3
SCREENING- GATE EXTRUSIONS & ACCESSORIES,AWXP-4200-GSF20-KWI,Alumawood XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - KWILA,123.61,114.96,105.06
SCREENING- GATE EXTRUSIONS & ACCESSORIES,AWXP-4200-GSF20-WRC,Alumawood XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - WESTERN RED    CEDAR,123.61,114.96,105.06
SCREENING- GATE EXTRUSIONS & ACCESSORIES,AWXP-4200-GSTOP-KWI,ALUMAWOOD Screening - 25 x 28mm GATE STOP - 4200mm long - KWILA *Rubber sold separately,38.72,36,32.92
SCREENING- GATE EXTRUSIONS & ACCESSORIES,AWXP-4200-GSTOP-WRC,ALUMAWOOD Screening - 25 x 28mm GATE STOP - 4200mm long - WESTERN RED CEDAR  *Rubber sold separately,38.72,36,32.92
SCREENING- GATE EXTRUSIONS & ACCESSORIES,AWXP-5800-HD6545-KWI,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 5800mm long - KWILA,151.03,140.45,134.42
SCREENING- GATE EXTRUSIONS & ACCESSORIES,AWXP-5800-HD6545-WRC,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 5800mm long - WESTERN RED CEDAR,151.03,140.45,134.42
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-B,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - BLACK SATIN (GN150A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-BS,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - BASALT SATIN (GP108A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-D,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - DUNE (GP152A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-G,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - WOODLAND GREY MATT (GL205A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-M,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - MILL,8.2,7.61,6.96
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-MN,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - MONUMENT MATT (GL229A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-P,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - PRIMROSE (GD037A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-PB,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - PAPERBARK (GU114A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-S,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - PALLADIUM SILVER PEARL (GY184C),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-SM,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - SURFMIST MATT (GA236A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GI-W,XPRESS Screening - 26 x 12mm GATE INSERT - 4200mm long - PEARL WHITE GLOSS (GA078A),12.46,11.6,10.59
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-B,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - BLACK,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-BS,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - BASALT SATIN (GP108A),104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-D,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - DUNE SATIN (GP152A),104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-G,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - WOODLAND GREY,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-M,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - MILL,91.5,85.1,77.78
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-PB,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - PAPERBARK,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-S,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - PALLADIUM SILVER,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-SM,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - SURFMIST,108.86,101.24,92.54
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF09-W,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 9mm Space - 4200mm long - PEARL WHITE,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-B,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - BLACK,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-BS,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mmm Space - 4200mm long - BASALT SATIN (GP108A),104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-D,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mmm Space - 4200mm long - DUNE SATIN (GP152A),104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-G,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - WOODLAND GREY,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-M,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - MILL,91.5,85.1,77.78
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-MN,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - MONUMENT MATT,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-PB,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - PAPERBARK,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-S,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - PALLADIUM SILVER,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-SM,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - SURFMIST,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSF20-W,XPRESS Screening - 45 x 40mm Patented GATE SIDE FRAME - Slotted with 20mm Space - 4200mm long - PEARL WHITE,104.67,97.35,88.98
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-B,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - BLACK SATIN (GN150A) *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-BS,XPRESS Gate Stop - 4200mm - BASALT SATIN (GP108A) *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-D,XPRESS Gate Stop - 4200mm - DUNE SATIN (GP152A) *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-G,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - WOODLAND GREY MATT (GL205A) *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-M,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - MILL *Rubber sold separately,17.38,16.16,14.77
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-MN,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - MONUMENT MATT (GL229A) *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-P,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - PRIMROSE (GD037A) *Rubber sold separately,21.92,20.38,18.64
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-PB,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - PAPERBARK (GU114A) *Rubber sold separately,21.92,20.38,18.64
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-S,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - PALLADIUM SILVER PEARL *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-SM,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - SURFMIST MATT *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-4200-GSTOP-W,XPRESS Screening - 25 x 28mm GATE STOP - 4200mm long - PEARL WHITE GLOSS (GA078A) *Rubber sold separately,24.11,22.42,20.5
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-B,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - BLACK SATIN (GN150A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-BS,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - BASALT SATIN (GP108A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-D,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - DUNE SATIN (GP152A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-G,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - WOODLAND GREY MATT (GL205A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-M,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - MILL,113.62,107.93,102.27
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-MN,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - MONUMENT MATT (GL229A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-P,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - PRIMROSE (GD037A),113.24,107.57,101.91
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-PB,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - PAPERBARK (GU114A),113.24,107.57,101.91
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-S,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - PALLADIUM SILVER PEARL (GY184C),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-SM,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - SURFMIST MATT (GA236A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-6100-HD6545-W,65 x 45mm Heavy Duty RAIL (with 2 x screw flutes) - 6100mm long - PEARL WHITE GLOSS (GA078A),124.56,118.33,112.1
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-B,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long - BLACK,32.61,30.34,27.74
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-G,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long - WOODLAND GREY,32.61,30.34,27.74
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-M,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long - MILL,17.51,16.28,14.88
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-MN,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long - MONUMENT MATT,34.5,32.09,29.34
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-S,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long - PALLADIUM SILVER,32.61,30.34,27.74
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-SM,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long - SURFMIST,32.61,30.34,27.74
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-W,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long PEARL WHITE GLOSS (GA078A),32.61,30.34,27.74
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-ADS-4200-INS-WRC,XPRESS Screening/Alumaluxe - 31 x 21mm Framing INSERT (for Gate Side Frames) - 4200mm long  WESTERN RED CEDAR,50.33,46.8,42.77
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-B,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Black powdercoated aluminium 2 x 2094mm long Gate Inserts - Black powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Black powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Black powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Black powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-BS,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - BASALT powdercoated aluminium 2 x 2094mm long Gate Inserts - BASALT powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - BASALT powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - BASALT powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - BASALT powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-D,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - DUNE powdercoated aluminium 2 x 2094mm long Gate Inserts - DUNE powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - DUNE powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - DUNE powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - DUNE powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-G,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Woodland Grey powdercoated aluminium 2 x 2094mm long Gate Inserts - Woodland Grey powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Woodland Grey powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Woodland Grey powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Woodland Grey powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Woodland Grey nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-M,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Mill finish aluminium 2 x 2094mm long Gate Inserts - Mill finish aluminium 1 x 2200mm long Right hand machined Gate Stop - Mill finish aluminium 1 x 2200mm long Left hand machined Gate Stop - Mill finish aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Mill finish aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",132,122.74,112.2
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-MN,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Monument powdercoated aluminium 2 x 2094mm long Gate Inserts - Monument powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Monument powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Monument powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Monument powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Monument nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-P,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Primrose powdercoated aluminium 2 x 2094mm long Gate Inserts - Primrose powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Primrose powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Primrose powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Primrose powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Primrose nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-PB,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Paperbark powdercoated aluminium 2 x 2094mm long Gate Inserts - Paperbark powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Paperbark powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Paperbark powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Paperbark powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Paperbark nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-S,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Palladium Silver powdercoated aluminium 2 x 2094mm long Gate Inserts - Palladium Silver powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Palladium Silver powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Palladium Silver powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Palladium Silver powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Palladium Silver nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-SM,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - Surfmist powdercoated aluminium 2 x 2094mm long Gate Inserts - Surfmist powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Surfmist powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Surfmist powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Surfmist powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Surfmist nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET09-W,"XPRESS Screening - 9MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 9mm space (1 pc has extra machining for lock set) - White powdercoated aluminium 2 x 2094mm long Gate Inserts - White powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - White powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - White powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - White powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - White nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET20-B,"XPRESS Screening - 20MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 20mm space (1 pc has extra machining for lock set) - Black powdercoated aluminium 2 x 2094mm long Gate Inserts - Black powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Black powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Black powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Black powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET20-BS,"XPRESS Screening - 20MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 20mm space (1 pc has extra machining for lock set) - BASALT powdercoated aluminium 2 x 2094mm long Gate Inserts - BASALT powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - BASALT powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - BASALT powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - BASALT powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET20-D,"XPRESS Screening - 20MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 20mm space (1 pc has extra machining for lock set) - DUNE powdercoated aluminium 2 x 2094mm long Gate Inserts - DUNE powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - DUNE powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - DUNE powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - DUNE powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET20-G,"XPRESS Screening - 20MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 20mm space (1 pc has extra machining for lock set) - Woodland Grey powdercoated aluminium 2 x 2094mm long Gate Inserts - Woodland Grey powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Woodland Grey powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Woodland Grey powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Woodland Grey powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Woodland Grey nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET20-M,"XPRESS Screening - 20MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 20mm space (1 pc has extra machining for lock set) - Mill finish aluminium 2 x 2094mm long Gate Inserts - Mill finish aluminium 1 x 2200mm long Right hand machined Gate Stop - Mill finish aluminium 1 x 2200mm long Left hand machined Gate Stop - Mill finish aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Mill finish aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Black nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",132,122.74,112.2
SCREENING- GATE EXTRUSIONS & ACCESSORIES,XP-GKIT-LSET20-MN,"XPRESS Screening - 20MM GATE LOCK BOX KIT Suitable for Lever/Knob Lock Set Lock Box, Lock and slats sold separately  Includes: 2 x 2094mm long Gate Side Frame slotted with 20mm space (1 pc has extra machining for lock set) - Monument powdercoated aluminium 2 x 2094mm long Gate Inserts - Monument powdercoated aluminium 1 x 2200mm long Right hand machined Gate Stop - Monument powdercoated aluminium 1 x 2200mm long Left hand machined Gate Stop - Monument powdercoated aluminium 1 x 2200mm long non-machined Gate Stop (for Hinge side) - Monument powdercoated aluminium 2 x 2250mm long Gate Stop Rubber 2 x Gate Frame Cap - Monument nylon 1 x 10 pack Wafer head 10-16 x 16mm screws (for affixing gate stop)",157.41,146.4,133.81
